DATE,10*2M3,3Q_LAG
1967/10/2,5.26,1.212699985
1967/10/3,5.27,1.212699985
1967/10/4,5.28,2.3009
1967/10/5,5.3,2.3009
1967/10/6,5.3,2.3009
1967/10/9,5.33,2.3009
1967/10/10,5.36,2.3009
1967/10/11,5.35,2.3009
1967/10/13,5.39,2.3009
1967/10/16,5.4,2.3009
1967/10/17,5.42,2.3009
1967/10/18,5.48,2.3009
1967/10/19,5.53,2.3009
1967/10/20,5.51,2.3009
1967/10/23,5.56,2.3009
1967/10/24,5.56,2.3009
1967/10/25,5.58,2.3009
1967/10/26,5.58,2.3009
1967/10/27,5.58,2.3009
1967/10/30,5.62,2.3009
1967/10/31,5.65,2.3009
1967/11/1,5.72,2.3009
1967/11/2,5.73,2.3009
1967/11/3,5.76,2.3009
1967/11/6,5.74,2.3009
1967/11/8,5.7,2.3009
1967/11/9,5.77,2.3009
1967/11/10,5.85,2.3009
1967/11/13,5.87,2.3009
1967/11/14,5.86,2.3009
1967/11/15,5.83,2.3009
1967/11/16,5.8,2.3009
1967/11/17,5.84,2.3009
1967/11/20,5.91,2.3009
1967/11/21,5.76,2.3009
1967/11/22,5.82,2.3009
1967/11/24,5.9,2.3009
1967/11/27,5.83,2.3009
1967/11/28,5.73,2.3009
1967/11/29,5.74,2.3009
1967/11/30,5.79,2.3009
1967/12/1,5.82,2.3009
1967/12/4,5.8,2.3009
1967/12/5,5.8,2.3009
1967/12/6,5.73,2.3009
1967/12/7,5.73,2.3009
1967/12/8,5.74,2.3009
1967/12/11,5.77,2.3009
1967/12/12,5.78,2.3009
1967/12/13,5.74,2.3009
1967/12/14,5.7,2.3009
1967/12/15,5.68,2.3009
1967/12/18,5.68,2.3009
1967/12/19,5.66,2.3009
1967/12/20,5.59,2.3009
1967/12/21,5.6,2.3009
1967/12/22,5.65,2.3009
1967/12/26,5.58,2.3009
1967/12/27,5.59,2.3009
1967/12/28,5.62,2.3009
1967/12/29,5.6,2.3009
1968/1/2,5.55,2.3009
1968/1/3,5.56,2.3009
1968/1/4,5.47,2.3009
1968/1/5,5.46,2.3009
1968/1/8,5.47,2.3009
1968/1/9,5.5,6.33379999
1968/1/10,5.44,6.33379999
1968/1/11,5.48,6.33379999
1968/1/12,5.42,6.33379999
1968/1/15,5.5,6.33379999
1968/1/16,5.54,6.33379999
1968/1/17,5.5,6.33379999
1968/1/18,5.57,6.33379999
1968/1/19,5.6,6.33379999
1968/1/22,5.62,6.33379999
1968/1/23,5.58,6.33379999
1968/1/24,5.58,6.33379999
1968/1/25,5.55,6.33379999
1968/1/26,5.55,6.33379999
1968/1/29,5.56,6.33379999
1968/1/30,5.54,6.33379999
1968/1/31,5.56,6.33379999
1968/2/1,5.58,6.33379999
1968/2/2,5.58,6.33379999
1968/2/5,5.6,6.33379999
1968/2/6,5.59,6.33379999
1968/2/7,5.57,6.33379999
1968/2/8,5.56,6.33379999
1968/2/9,5.55,6.33379999
1968/2/13,5.5,6.33379999
1968/2/14,5.49,6.33379999
1968/2/15,5.44,6.33379999
1968/2/16,5.45,6.33379999
1968/2/19,5.48,6.33379999
1968/2/20,5.46,6.33379999
1968/2/21,5.47,6.33379999
1968/2/23,5.49,6.33379999
1968/2/26,5.49,6.33379999
1968/2/27,5.5,6.33379999
1968/2/28,5.49,6.33379999
1968/2/29,5.47,6.33379999
1968/3/1,5.47,6.33379999
1968/3/4,5.49,6.33379999
1968/3/5,5.52,6.33379999
1968/3/6,5.54,6.33379999
1968/3/7,5.58,6.33379999
1968/3/8,5.65,6.33379999
1968/3/11,5.69,6.33379999
1968/3/12,5.73,6.33379999
1968/3/13,5.78,6.33379999
1968/3/14,5.87,6.33379999
1968/3/15,5.78,6.33379999
1968/3/18,5.71,6.33379999
1968/3/19,5.69,6.33379999
1968/3/20,5.68,6.33379999
1968/3/21,5.69,6.33379999
1968/3/22,5.69,6.33379999
1968/3/25,5.69,6.33379999
1968/3/26,5.75,6.33379999
1968/3/27,5.76,6.33379999
1968/3/28,5.74,6.33379999
1968/3/29,5.73,6.33379999
1968/4/1,5.59,6.33379999
1968/4/2,5.6,6.33379999
1968/4/3,5.48,6.33379999
1968/4/4,5.52,6.33379999
1968/4/5,5.51,6.33379999
1968/4/8,5.56,12.9501
1968/4/10,5.55,12.9501
1968/4/11,5.52,12.9501
1968/4/15,5.54,12.9501
1968/4/16,5.56,12.9501
1968/4/17,5.56,12.9501
1968/4/18,5.52,12.9501
1968/4/19,5.58,12.9501
1968/4/22,5.56,12.9501
1968/4/23,5.53,12.9501
1968/4/24,5.51,12.9501
1968/4/25,5.49,12.9501
1968/4/26,5.46,12.9501
1968/4/29,5.48,12.9501
1968/4/30,5.48,12.9501
1968/5/1,5.49,12.9501
1968/5/2,5.55,12.9501
1968/5/3,5.56,12.9501
1968/5/6,5.54,12.9501
1968/5/7,5.56,12.9501
1968/5/8,5.54,12.9501
1968/5/9,5.54,12.9501
1968/5/10,5.54,12.9501
1968/5/13,5.53,12.9501
1968/5/14,5.56,12.9501
1968/5/15,5.59,12.9501
1968/5/16,5.61,12.9501
1968/5/17,5.62,12.9501
1968/5/20,5.63,12.9501
1968/5/21,5.68,12.9501
1968/5/22,5.7,12.9501
1968/5/23,5.73,12.9501
1968/5/24,5.75,12.9501
1968/5/27,5.78,12.9501
1968/5/28,5.8,12.9501
1968/5/29,5.8,12.9501
1968/5/31,5.78,12.9501
1968/6/3,5.73,12.9501
1968/6/4,5.72,12.9501
1968/6/5,5.74,12.9501
1968/6/6,5.75,12.9501
1968/6/7,5.73,12.9501
1968/6/10,5.7,12.9501
1968/6/11,5.67,12.9501
1968/6/12,5.64,12.9501
1968/6/13,5.68,12.9501
1968/6/14,5.64,12.9501
1968/6/17,5.64,12.9501
1968/6/18,5.64,12.9501
1968/6/19,5.6,12.9501
1968/6/20,5.58,12.9501
1968/6/21,5.54,12.9501
1968/6/24,5.5,12.9501
1968/6/25,5.47,12.9501
1968/6/26,5.46,12.9501
1968/6/27,5.49,12.9501
1968/6/28,5.5,12.9501
1968/7/1,5.49,12.9501
1968/7/2,5.48,12.9501
1968/7/3,5.49,12.9501
1968/7/5,5.49,12.9501
1968/7/8,5.5,20.46049999
1968/7/9,5.49,20.46049999
1968/7/10,5.46,20.46049999
1968/7/11,5.45,20.46049999
1968/7/12,5.47,20.46049999
1968/7/15,5.48,20.46049999
1968/7/16,5.5,20.46049999
1968/7/17,5.54,20.46049999
1968/7/18,5.6,20.46049999
