DATE,weekly return,volatility,average weekly volatility of past month,average weekly volatility of past quarter,return of past month,return of past half year,return of past year,rate of unemployment,core cpi
1962/1/5,-2.228057938,3.378332171,2.752688654,2.459683115,-0.019948176,0.031932094,0.149944501,5.8,1.3
1962/1/12,-0.435062392,2.699904874,2.940174828,2.544858135,-0.012665427,0.030089443,0.123240326,5.8,1.3
1962/1/19,-1.546934933,3.484467424,3.115504794,2.659259747,-0.04159315,0.026244874,0.10460937,5.8,1.3
1962/1/26,-1.217319329,2.454618107,3.004330644,2.670603579,-0.031685412,-0.018337304,0.075530626,5.8,1.3
1962/2/2,2.0745749,3.236105694,2.968774025,2.700589241,-0.007278041,-0.019606483,0.082072409,5.5,1.3
1962/2/9,2.50796122,3.137782181,3.078243352,2.732128943,0.033608289,0.002311099,0.132273395,5.5,1.3
1962/2/16,-1.078327143,1.698261698,2.63169192,2.719439763,0.035062627,-0.009771537,0.099438357,5.5,1.3
1962/3/2,0.205767117,1.832172957,2.190460959,2.637307879,-0.018321897,-0.014115755,0.05872893,5.5,1.3
1962/3/9,0.483825598,2.025316456,1.912344528,2.643587569,-0.002819418,-0.008961021,0.076693542,5.5,1.3
1962/3/16,1.095963272,2.449470914,2.100146832,2.615781182,0.017941201,0.008348574,0.067704407,5.5,1.3
1962/3/23,-0.804408324,1.702964265,2.002481148,2.516085312,0.007679325,0.021238383,0.065415558,5.5,1.3
1962/3/30,-1.327359518,2.037796946,2.053887145,2.404374043,-0.010483736,0.008200228,0.044825752,5.5,1.3
1962/4/6,-1.035433906,2.319824599,2.127514181,2.372700687,-0.031345619,-0.012170844,0.023344596,5.5,1.3
1962/4/13,-1.676600489,3.516144248,2.394182514,2.375340422,-0.039862658,-0.021896772,-0.008375258,5.5,1.3
1962/4/19,0.923099288,2.267771478,2.535384318,2.35976987,-0.017964495,-0.016099545,0.013133893,5.5,1.3
1962/4/27,-3.176089305,4.551674469,3.163853698,2.469400601,-0.039206438,-0.037968886,-0.009577133,5.5,1.3
1962/5/4,-0.148765248,3.540612913,3.469050777,2.502969829,-0.024276784,-0.05364822,-0.028175948,5.5,1.3
1962/5/11,-4.554529201,5.691299166,4.012839506,2.835722951,-0.077234426,-0.116152976,-0.068716383,5.5,1.3
1962/5/18,1.571890171,5.260446748,4.761008324,3.099624597,-0.031984528,-0.108043645,-0.078263333,5.5,1.3
1962/5/25,-5.965882895,7.053941909,5.386575184,3.534772009,-0.088379023,-0.164771564,-0.121202982,5.5,1.3
1962/6/1,-0.135647513,11.63626855,7.410489093,4.335684684,-0.046173298,-0.161555455,-0.124181227,5.5,1.3
1962/6/8,-1.544881761,4.533180591,7.120959449,4.509327157,-0.075441832,-0.173862294,-0.141648476,5.5,1.3
1962/6/15,-3.894549625,7.828992204,7.763095813,5.019829485,-0.055076159,-0.207310218,-0.156557257,5.5,1.3
1962/6/22,-6.743574665,7.869521602,7.966990737,5.50580654,-0.117600851,-0.252018422,-0.217033326,5.5,1.3
1962/6/29,4.09688607,8.253120421,7.121203705,6.000247858,-0.067036785,-0.232311627,-0.179355216,5.5,1.3
1962/7/6,2.65286488,5.166761688,7.279598979,6.137799311,-0.003476426,-0.193987466,-0.168249798,5.5,1.3
1962/7/13,2.433309613,5.085304684,6.593677099,6.372593745,0.094586324,-0.170767004,-0.145815845,5.5,1.3
1962/7/20,-2.204374862,3.930937495,5.609031072,6.320865664,0.028328107,-0.176304373,-0.154686585,5.5,1.3
1962/7/27,1.354863301,3.239890502,4.355723592,6.295805463,0.015325338,-0.154856326,-0.170353982,5.5,1.3
1962/8/3,0.572649573,2.957264957,3.80334941,6.067969279,-0.00311764,-0.16729177,-0.183618249,5.5,1.3
1962/8/10,0.67476842,2.804453132,3.233136521,5.863303145,0.026230985,-0.18218344,-0.180293385,5.5,1.3
1962/8/17,2.988249595,3.596029173,3.149409441,5.57514375,0.042769231,-0.148563772,-0.156883612,5.5,1.3
1962/8/24,0.609816072,2.655650634,3.003349474,4.826758924,0.043154585,-0.135017053,-0.143646486,5.5,1.3
1962/8/31,-0.742985629,2.93283801,2.997242737,4.693397042,0.028464344,-0.143206751,-0.155301034,5.5,1.3
1962/9/7,-1.36577038,3.004038215,3.047139008,4.291317543,-0.015015901,-0.158977661,-0.16651408,5.5,1.3
1962/9/14,0.828812036,2.396564924,2.747272946,3.83523782,-0.0128719,-0.161200105,-0.154197322,5.5,1.3
1962/9/21,-2.320744751,3.779875875,3.028329256,3.462467441,-0.028562986,-0.174022276,-0.156479845,5.5,1.3
1962/9/28,-2.162965967,3.227550779,3.102007448,3.300866532,-0.036414473,-0.181017045,-0.174301198,5.5,1.3
1962/10/5,1.314380462,3.333448478,3.184360014,3.154878515,-0.031774066,-0.161571116,-0.171775503,5.4,1.3
1962/10/12,-0.020457219,1.926388108,3.06681581,2.987832732,-0.008972929,-0.147448757,-0.166116878,5.4,1.3
1962/10/19,-2.24734428,4.041127423,3.132128697,3.054602476,-0.009827628,-0.174231185,-0.187525687,5.4,1.3
1962/10/26,-0.744823737,5.023635507,3.581149879,3.226800022,-0.029952778,-0.153495983,-0.185636798,5.4,1.3
1962/11/2,6.249340972,5.852166883,4.21082948,3.480776168,0.03087967,-0.099255066,-0.147578428,5.7,1.3
1962/11/9,1.910417149,2.87803103,4.448740211,3.420942989,0.074726578,-0.038243604,-0.149954471,5.7,1.3
1962/11/16,2.410205638,3.067534449,4.205341967,3.45526664,0.108888967,-0.030305824,-0.135075118,5.7,1.3
1962/11/30,0.686960163,2.74473925,3.174985133,3.523391543,0.053836041,0.062597169,-0.1090712,5.7,1.3
1962/12/7,0.431233636,2.572000616,3.09847753,3.538011184,0.033471742,0.083924802,-0.104528851,5.5,1.3
1962/12/14,-0.614936359,2.484281552,2.952664306,3.43004499,0.004993254,0.120913902,-0.111463003,5.5,1.3
1962/12/21,-0.259223256,2.437933003,2.559738605,3.364243509,-0.004450947,0.198853836,-0.103279416,5.5,1.3
1962/12/28,0.776596897,1.763586578,2.314450437,3.233421684,-0.00102745,0.160615023,-0.109009342,5.5,1.3
1963/1/4,1.656356017,3.39253642,2.519584388,3.35560071,0.021802527,0.149348283,-0.073610878,5.7,1
1963/1/11,1.414937634,2.476518378,2.517643595,3.225216623,0.038953605,0.137921686,-0.056397791,5.7,1
1963/1/18,0.136988341,2.337735821,2.492594299,3.001391649,0.032359578,0.165165113,-0.040258591,5.7,1
1963/1/25,1.069129084,2.289928774,2.624179848,2.704538473,0.026396062,0.161880342,-0.018044179,5.7,1
1963/2/1,0.511990584,1.70663528,2.202704563,2.60692216,0.017257553,0.16117957,-0.033076215,5.5,1.6
1963/2/8,-0.478643988,2.137064902,2.117841194,2.529383032,0.011003554,0.147876148,-0.061247877,5.5,1.6
1963/2/15,0.904531482,2.926857966,2.265121731,2.439151545,0.009357069,0.124651651,-0.042430841,5.5,1.6
1963/2/21,-0.645716118,2.681981168,2.363134829,2.433921705,-0.002268802,0.110616874,-0.039335344,5.5,1.6
1963/3/1,-3.2158209,3.726361809,2.868066461,2.530118471,-0.029709815,0.082947569,-0.072137834,5.5,1.6
1963/3/8,1.926604114,2.485940792,2.955285434,2.530256741,-0.019881643,0.119095962,-0.058815296,5.5,1.6
1963/3/15,0.579994646,1.621010678,2.628823612,2.462179881,-0.00779015,0.116334346,-0.063618868,5.5,1.6
