DATE,HQMCB1YR,HQMCB10YR,HQMCB15YR,HQMCB20YR,HQMCB10M1,HQMCB15M1,HQMCB20M1,RECESSION_RATE,RECESSION_RATE_1_5TH,RECESSION_LABEL,,,,,,
1984/1/1,11.14,12.89,12.31,11.27,1.75,1.17,0.13,0.0613,0.003065,0,,,,,,
1984/2/1,11.13,12.73,12.34,11.77,1.6,1.21,0.64,0.0613,0.003065,0,,,,,,
1984/3/1,12.08,13.12,12.71,12.15,1.04,0.63,0.07,0.0613,0.003065,0,,,,,,
1984/4/1,12.33,13.21,12.73,12.25,0.88,0.4,-0.08,0.5826,0.02913,0,,,,,,
1984/5/1,13.14,13.59,13.07,12.79,0.45,-0.07,-0.35,0.5826,0.02913,0,,,,,,
1984/6/1,13.29,13.65,13,12.81,0.36,-0.29,-0.48,0.5826,0.02913,0,,,,,,
1984/7/1,13.1,13.66,13.06,12.81,0.56,-0.04,-0.29,7.2605,0.363025,0,,,,,,
1984/8/1,12.93,13.2,12.71,12.43,0.27,-0.22,-0.5,7.2605,0.363025,0,,,,,,
1984/9/1,12.76,12.95,12.6,12.5,0.19,-0.16,-0.26,7.2605,0.363025,0,,,,,,
1984/10/1,11.96,13.16,12.67,11.91,1.2,0.71,-0.05,6.8803,0.344015,0,,,,,,
1984/11/1,11.56,12.79,12.39,11.69,1.23,0.83,0.13,6.8803,0.344015,0,,,,,,
1984/12/1,10.89,12.48,12.32,11.96,1.59,1.43,1.07,6.8803,0.344015,0,,,,,,
1985/1/1,10.38,12.37,12.16,11.74,1.99,1.78,1.36,29.9844,1.49922,0,,,,,,
1985/2/1,10.19,12.44,12.18,11.43,2.25,1.99,1.24,29.9844,1.49922,0,,,,,,
1985/3/1,10.7,12.8,12.5,11.73,2.1,1.8,1.03,29.9844,1.49922,0,,,,,,
1985/4/1,10.36,12.47,12.2,11.48,2.11,1.84,1.12,18.974,0.9487,0,,,,,,
1985/5/1,9.82,12.13,11.91,11.27,2.31,2.09,1.45,18.974,0.9487,0,,,,,,
1985/6/1,9.23,11.73,11.55,10.9,2.5,2.32,1.67,18.974,0.9487,0,,,,,,
1985/7/1,9.2,11.58,11.58,11.27,2.38,2.38,2.07,17.205,0.86025,0,,,,,,
1985/8/1,9.5,11.55,11.45,11.29,2.05,1.95,1.79,17.205,0.86025,0,,,,,,
1985/9/1,9.39,11.45,11.46,11.47,2.06,2.07,2.08,17.205,0.86025,0,,,,,,
1985/10/1,9.32,11.28,11.22,11.27,1.96,1.9,1.95,26.5589,1.327945,0,,,,,,
1985/11/1,9.12,10.91,10.81,10.84,1.79,1.69,1.72,26.5589,1.327945,0,,,,,,
1985/12/1,8.87,10.64,10.58,10.49,1.77,1.71,1.62,26.5589,1.327945,0,,,,,,
1986/1/1,9.13,10.32,10.11,9.87,1.19,0.98,0.74,9.9812,0.49906,0,,,,,,
1986/2/1,8.72,10.07,9.97,9.83,1.35,1.25,1.11,9.9812,0.49906,0,,,,,,
1986/3/1,8.28,9.68,9.57,9.26,1.4,1.29,0.98,9.9812,0.49906,0,,,,,,
1986/4/1,8.11,9.35,9.22,8.92,1.24,1.11,0.81,19.779,0.98895,0,,,,,,
1986/5/1,8.18,9.23,9.19,9.21,1.05,1.01,1.03,19.779,0.98895,0,,,,,,
1986/6/1,8.19,9.31,9.35,9.55,1.12,1.16,1.36,19.779,0.98895,0,,,,,,
1986/7/1,7.74,9.26,9.49,9.53,1.52,1.75,1.79,16.2139,0.810695,0,,,,,,
1986/8/1,7.35,9.05,9.35,9.51,1.7,2,2.16,16.2139,0.810695,0,,,,,,
1986/9/1,7.26,9.08,9.42,9.61,1.82,2.16,2.35,16.2139,0.810695,0,,,,,,
1986/10/1,7.12,9.13,9.57,9.76,2.01,2.45,2.64,13.8915,0.694575,0,,,,,,
1986/11/1,7.03,8.98,9.48,9.61,1.95,2.45,2.58,13.8915,0.694575,0,,,,,,
1986/12/1,7.03,8.77,9.23,9.35,1.74,2.2,2.32,13.8915,0.694575,0,,,,,,
1987/1/1,7.05,8.45,8.81,9.04,1.4,1.76,1.99,6.7707,0.338535,0,,,,,,
1987/2/1,6.94,8.49,8.85,9.05,1.55,1.91,2.11,6.7707,0.338535,0,,,,,,
1987/3/1,6.88,8.39,8.74,8.97,1.51,1.86,2.09,6.7707,0.338535,0,,,,,,
1987/4/1,7.44,8.94,9.33,9.64,1.5,1.89,2.2,5.8424,0.29212,0,,,,,,
1987/5/1,8.03,9.41,9.79,10.18,1.38,1.76,2.15,5.8424,0.29212,0,,,,,,
1987/6/1,7.9,9.48,9.83,10.06,1.58,1.93,2.16,5.8424,0.29212,0,,,,,,
1987/7/1,7.64,9.63,10,10.09,1.99,2.36,2.45,2.4428,0.12214,0,,,,,,
1987/8/1,7.88,9.9,10.24,10.28,2.02,2.36,2.4,2.4428,0.12214,0,,,,,,
1987/9/1,8.45,10.46,10.73,10.68,2.01,2.28,2.23,2.4428,0.12214,0,,,,,,
1987/10/1,8.74,10.71,10.88,10.77,1.97,2.14,2.03,2.272,0.1136,0,,,,,,
1987/11/1,8.14,10.22,10.33,10.2,2.08,2.19,2.06,2.272,0.1136,0,,,,,,
1987/12/1,8.21,10.25,10.37,10.27,2.04,2.16,2.06,2.272,0.1136,0,,,,,,
1988/1/1,8.15,10.02,10.06,9.88,1.87,1.91,1.73,3.0766,0.15383,0,,,,,,
1988/2/1,7.85,9.52,9.62,9.52,1.67,1.77,1.67,3.0766,0.15383,0,,,,,,
1988/3/1,7.76,9.55,9.67,9.64,1.79,1.91,1.88,3.0766,0.15383,0,,,,,,
1988/4/1,8,9.76,9.93,10.01,1.76,1.93,2.01,5.3814,0.26907,0,,,,,,
1988/5/1,8.14,10,10.24,10.36,1.86,2.1,2.22,5.3814,0.26907,0,,,,,,
1988/6/1,8.16,9.95,10.12,10.17,1.79,1.96,2.01,5.3814,0.26907,0,,,,,,
1988/7/1,8.4,9.99,10.18,10.26,1.59,1.78,1.86,7.7538,0.38769,0,,,,,,
1988/8/1,8.84,10.12,10.28,10.29,1.28,1.44,1.45,7.7538,0.38769,0,,,,,,
1988/9/1,8.97,9.92,10.06,10.06,0.95,1.09,1.09,7.7538,0.38769,0,,,,,,
1988/10/1,8.92,9.74,9.86,9.88,0.82,0.94,0.96,4.1657,0.208285,0,,,,,,
1988/11/1,9.23,9.83,9.87,9.86,0.6,0.64,0.63,4.1657,0.208285,0,,,,,,
1988/12/1,9.63,9.92,9.89,9.86,0.29,0.26,0.23,4.1657,0.208285,0,,,,,,
1989/1/1,9.73,9.87,9.82,9.83,0.14,0.09,0.1,4.9025,0.245125,0,,,,,,
1989/2/1,9.89,9.9,9.86,9.88,0.01,-0.03,-0.01,4.9025,0.245125,0,,,,,,
1989/3/1,10.37,10.08,9.99,9.96,-0.29,-0.38,-0.41,4.9025,0.245125,0,,,,,,
1989/4/1,10.49,9.97,9.84,9.79,-0.52,-0.65,-0.7,5.6023,0.280115,0,,,,,,
1989/5/1,9.93,9.74,9.66,9.64,-0.19,-0.27,-0.29,5.6023,0.280115,0,,,,,,
1989/6/1,9.24,9.25,9.23,9.23,0.01,-0.01,-0.01,5.6023,0.280115,0,,,,,,
1989/7/1,8.88,8.96,9,9.09,0.08,0.12,0.21,9.273,0.46365,0,,,,,,
1989/8/1,8.95,8.97,8.99,9.08,0.02,0.04,0.13,9.273,0.46365,0,,,,,,
1989/9/1,9.14,9.08,9.07,9.12,-0.06,-0.07,-0.02,9.273,0.46365,0,,,,,,
1989/10/1,8.87,8.96,8.96,9.02,0.09,0.09,0.15,12.4675,0.623375,1,,,,,,
1989/11/1,8.65,8.88,8.89,8.94,0.23,0.24,0.29,12.4675,0.623375,1,,,,,,
1989/12/1,8.64,8.93,8.95,8.95,0.29,0.31,0.31,12.4675,0.623375,1,,,,,,
1990/1/1,8.93,9.21,9.18,9.13,0.28,0.25,0.2,28.8838,1.44419,1,,,,,,
1990/2/1,9.14,9.47,9.42,9.37,0.33,0.28,0.23,28.8838,1.44419,1,,,,,,
1990/3/1,9.14,9.49,9.45,9.46,0.35,0.31,0.32,28.8838,1.44419,1,,,,,,
1990/4/1,9.33,9.64,9.59,9.6,0.31,0.26,0.27,40.5987,2.029935,1,,,,,,
1990/5/1,9.31,9.62,9.62,9.7,0.31,0.31,0.39,40.5987,2.029935,1,,,,,,
1990/6/1,9.05,9.4,9.44,9.52,0.35,0.39,0.47,40.5987,2.029935,1,,,,,,
1990/7/1,8.97,9.42,9.44,9.54,0.45,0.47,0.57,79.5802,3.97901,1,,,,,,
1990/8/1,8.86,9.62,9.77,10,0.76,0.91,1.14,79.5802,3.97901,1,,,,,,
1990/9/1,8.86,9.76,9.92,10.17,0.9,1.06,1.31,79.5802,3.97901,1,,,,,,
1990/10/1,8.89,9.84,9.95,10.21,0.95,1.06,1.32,95.06845,4.7534225,1,,,,,,
1990/11/1,8.79,9.74,9.83,10.03,0.95,1.04,1.24,95.06845,4.7534225,1,,,,,,
1990/12/1,8.44,9.52,9.61,9.77,1.08,1.17,1.33,95.06845,4.7534225,1,,,,,,
1991/1/1,8.21,9.48,9.58,9.73,1.27,1.37,1.52,97.02841,4.8514205,1,,,,,,
1991/2/1,7.92,9.24,9.35,9.46,1.32,1.43,1.54,97.02841,4.8514205,1,,,,,,
1991/3/1,7.87,9.29,9.49,9.66,1.42,1.62,1.79,97.02841,4.8514205,1,,,,,,
1991/4/1,7.49,9.15,9.33,9.49,1.66,1.84,2,90.22813,4.5114065,0,,,,,,
1991/5/1,7.24,9.15,9.34,9.54,1.91,2.1,2.3,90.22813,4.5114065,0,,,,,,
1991/6/1,7.28,9.25,9.45,9.7,1.97,2.17,2.42,90.22813,4.5114065,0,,,,,,
1991/7/1,7.28,9.27,9.44,9.67,1.99,2.16,2.39,80.7474,4.03737,0,,,,,,
