DATE,10M1,10M3,10M5,5M1,5M3,RECESSION_RATE,RECESSION_LABEL,,,,,,,,
1967/10/2,0.06,-0.09,-0.08,0.14,-0.01,3.8348,0,,,,,,,,
1967/10/3,0.06,-0.08,-0.09,0.15,0.01,3.8348,0,,,,,,,,
1967/10/4,0.06,-0.09,-0.1,0.16,0.01,3.8348,0,,,,,,,,
1967/10/5,0.06,-0.07,-0.1,0.16,0.03,3.8348,0,,,,,,,,
1967/10/6,0.07,-0.07,-0.11,0.18,0.04,3.8348,0,,,,,,,,
1967/10/9,0.09,-0.06,-0.1,0.19,0.04,3.8348,0,,,,,,,,
1967/10/10,0.09,-0.06,-0.1,0.19,0.04,3.8348,0,,,,,,,,
1967/10/11,0.08,-0.07,-0.11,0.19,0.04,3.8348,0,,,,,,,,
1967/10/13,0.1,-0.06,-0.11,0.21,0.05,3.8348,0,,,,,,,,
1967/10/16,0.1,-0.07,-0.13,0.23,0.06,3.8348,0,,,,,,,,
1967/10/17,0.08,-0.07,-0.12,0.2,0.05,3.8348,0,,,,,,,,
1967/10/18,0.11,-0.04,-0.08,0.19,0.04,3.8348,0,,,,,,,,
1967/10/19,0.1,0,-0.06,0.16,0.06,3.8348,0,,,,,,,,
1967/10/20,0.11,-0.01,-0.05,0.16,0.04,3.8348,0,,,,,,,,
1967/10/23,0.15,0,-0.05,0.2,0.05,3.8348,0,,,,,,,,
1967/10/24,0.14,0,-0.07,0.21,0.07,3.8348,0,,,,,,,,
1967/10/25,0.15,0.01,-0.06,0.21,0.07,3.8348,0,,,,,,,,
1967/10/26,0.14,0,-0.07,0.21,0.07,3.8348,0,,,,,,,,
1967/10/27,0.14,0.01,-0.07,0.21,0.08,3.8348,0,,,,,,,,
1967/10/30,0.17,0.02,-0.07,0.24,0.09,3.8348,0,,,,,,,,
1967/10/31,0.17,0.01,-0.08,0.25,0.09,3.8348,0,,,,,,,,
1967/11/1,0.2,0.02,-0.06,0.26,0.08,3.8348,0,,,,,,,,
1967/11/2,0.2,0.02,-0.05,0.25,0.07,3.8348,0,,,,,,,,
1967/11/3,0.19,0.01,-0.05,0.24,0.06,3.8348,0,,,,,,,,
1967/11/6,0.15,-0.03,-0.06,0.21,0.03,3.8348,0,,,,,,,,
1967/11/8,0.12,-0.04,-0.07,0.19,0.03,3.8348,0,,,,,,,,
1967/11/9,0.14,-0.01,-0.05,0.19,0.04,3.8348,0,,,,,,,,
1967/11/10,0.19,0.02,-0.04,0.23,0.06,3.8348,0,,,,,,,,
1967/11/13,0.19,0,-0.04,0.23,0.04,3.8348,0,,,,,,,,
1967/11/14,0.18,0.05,0,0.18,0.05,3.8348,0,,,,,,,,
1967/11/15,0.18,0.05,0,0.18,0.05,3.8348,0,,,,,,,,
1967/11/16,0.16,0.08,0.04,0.12,0.04,3.8348,0,,,,,,,,
1967/11/17,0.19,0.09,0.03,0.16,0.06,3.8348,0,,,,,,,,
1967/11/20,0.13,0.06,-0.02,0.15,0.08,3.8348,0,,,,,,,,
1967/11/21,0.09,0.05,-0.01,0.1,0.06,3.8348,0,,,,,,,,
1967/11/22,0.12,0.12,0.02,0.1,0.1,3.8348,0,,,,,,,,
1967/11/24,0.15,0.12,0,0.15,0.12,3.8348,0,,,,,,,,
1967/11/27,0.13,0.07,-0.02,0.15,0.09,3.8348,0,,,,,,,,
1967/11/28,0.05,0.08,0,0.05,0.08,3.8348,0,,,,,,,,
1967/11/29,0.07,0.07,-0.02,0.09,0.09,3.8348,0,,,,,,,,
1967/11/30,0.09,0.05,-0.03,0.12,0.08,3.8348,0,,,,,,,,
1967/12/1,0.08,0.04,-0.04,0.12,0.08,3.8348,0,,,,,,,,
1967/12/4,0.03,0.04,-0.04,0.07,0.08,3.8348,0,,,,,,,,
1967/12/5,0.03,0.06,-0.03,0.06,0.09,3.8348,0,,,,,,,,
1967/12/6,-0.01,0.04,-0.03,0.02,0.07,3.8348,0,,,,,,,,
1967/12/7,0.02,0.02,-0.05,0.07,0.07,3.8348,0,,,,,,,,
1967/12/8,0.02,0.02,-0.06,0.08,0.08,3.8348,0,,,,,,,,
1967/12/11,0.03,0.03,-0.07,0.1,0.1,3.8348,0,,,,,,,,
1967/12/12,0.04,0.03,-0.06,0.1,0.09,3.8348,0,,,,,,,,
1967/12/13,0.02,0.03,-0.03,0.05,0.06,3.8348,0,,,,,,,,
1967/12/14,0.01,0,-0.07,0.08,0.07,3.8348,0,,,,,,,,
1967/12/15,-0.01,-0.03,-0.08,0.07,0.05,3.8348,0,,,,,,,,
1967/12/18,-0.03,0,-0.07,0.04,0.07,3.8348,0,,,,,,,,
1967/12/19,-0.02,0,-0.04,0.02,0.04,3.8348,0,,,,,,,,
1967/12/20,-0.06,-0.03,-0.04,-0.02,0.01,3.8348,0,,,,,,,,
1967/12/21,-0.06,-0.04,-0.06,0,0.02,3.8348,0,,,,,,,,
1967/12/22,-0.04,-0.04,-0.05,0.01,0.01,3.8348,0,,,,,,,,
1967/12/26,-0.08,-0.06,-0.06,-0.02,0,3.8348,0,,,,,,,,
1967/12/27,-0.06,-0.05,-0.06,0,0.01,3.8348,0,,,,,,,,
1967/12/28,-0.06,-0.08,-0.09,0.03,0.01,3.8348,0,,,,,,,,
1967/12/29,-0.06,-0.1,-0.08,0.02,-0.02,3.8348,0,,,,,,,,
1968/1/2,-0.08,-0.08,-0.05,-0.03,-0.03,1.7614,0,,,,,,,,
1968/1/3,-0.05,-0.07,-0.04,-0.01,-0.03,1.7614,0,,,,,,,,
1968/1/4,-0.08,-0.04,-0.03,-0.05,-0.01,1.7614,0,,,,,,,,
1968/1/5,-0.07,-0.02,-0.02,-0.05,0,1.7614,0,,,,,,,,
1968/1/8,-0.05,-0.03,-0.03,-0.02,0,1.7614,0,,,,,,,,
1968/1/9,-0.03,-0.02,-0.02,-0.01,0,1.7614,0,,,,,,,,
1968/1/10,0.01,-0.02,0.01,0,-0.03,1.7614,0,,,,,,,,
1968/1/11,0.08,0.02,0.03,0.05,-0.01,1.7614,0,,,,,,,,
1968/1/12,0.06,-0.01,0.01,0.05,-0.02,1.7614,0,,,,,,,,
1968/1/15,0.15,0.01,0.02,0.13,-0.01,1.7614,0,,,,,,,,
1968/1/16,0.19,0.02,0.01,0.18,0.01,1.7614,0,,,,,,,,
1968/1/17,0.18,0.02,0.02,0.16,0,1.7614,0,,,,,,,,
1968/1/18,0.19,0.02,0,0.19,0.02,1.7614,0,,,,,,,,
1968/1/19,0.19,0.01,0,0.19,0.01,1.7614,0,,,,,,,,
1968/1/22,0.2,0.01,0,0.2,0.01,1.7614,0,,,,,,,,
1968/1/23,0.19,0.02,0,0.19,0.02,1.7614,0,,,,,,,,
1968/1/24,0.19,0.02,-0.02,0.21,0.04,1.7614,0,,,,,,,,
1968/1/25,0.19,0.03,0,0.19,0.03,1.7614,0,,,,,,,,
1968/1/26,0.16,0.02,-0.02,0.18,0.04,1.7614,0,,,,,,,,
1968/1/29,0.22,0.03,-0.01,0.23,0.04,1.7614,0,,,,,,,,
1968/1/30,0.18,0.01,-0.02,0.2,0.03,1.7614,0,,,,,,,,
1968/1/31,0.18,0.02,-0.01,0.19,0.03,1.7614,0,,,,,,,,
1968/2/1,0.21,0,-0.02,0.23,0.02,1.7614,0,,,,,,,,
1968/2/2,0.22,0,-0.02,0.24,0.02,1.7614,0,,,,,,,,
1968/2/5,0.2,0,-0.04,0.24,0.04,1.7614,0,,,,,,,,
1968/2/6,0.19,-0.02,-0.04,0.23,0.02,1.7614,0,,,,,,,,
1968/2/7,0.17,-0.02,-0.04,0.21,0.02,1.7614,0,,,,,,,,
1968/2/8,0.15,-0.04,-0.05,0.2,0.01,1.7614,0,,,,,,,,
1968/2/9,0.14,-0.04,-0.04,0.18,0,1.7614,0,,,,,,,,
1968/2/13,0.14,-0.05,-0.03,0.17,-0.02,1.7614,0,,,,,,,,
1968/2/14,0.13,-0.05,-0.02,0.15,-0.03,1.7614,0,,,,,,,,
1968/2/15,0.09,-0.07,-0.02,0.11,-0.05,1.7614,0,,,,,,,,
1968/2/16,0.13,-0.05,0.01,0.12,-0.06,1.7614,0,,,,,,,,
1968/2/19,0.12,-0.05,-0.01,0.13,-0.04,1.7614,0,,,,,,,,
1968/2/20,0.13,-0.08,-0.01,0.14,-0.07,1.7614,0,,,,,,,,
1968/2/21,0.13,-0.07,-0.01,0.14,-0.06,1.7614,0,,,,,,,,
1968/2/23,0.15,-0.07,-0.02,0.17,-0.05,1.7614,0,,,,,,,,
1968/2/26,0.14,-0.09,-0.03,0.17,-0.06,1.7614,0,,,,,,,,
1968/2/27,0.13,-0.08,-0.02,0.15,-0.06,1.7614,0,,,,,,,,
1968/2/28,0.13,-0.08,-0.01,0.14,-0.07,1.7614,0,,,,,,,,
1968/2/29,0.13,-0.09,-0.01,0.14,-0.08,1.7614,0,,,,,,,,
1968/3/1,0.13,-0.09,-0.01,0.14,-0.08,1.7614,0,,,,,,,,
1968/3/4,0.13,-0.08,-0.02,0.15,-0.06,1.7614,0,,,,,,,,
1968/3/5,0.15,-0.07,-0.02,0.17,-0.05,1.7614,0,,,,,,,,
1968/3/6,0.16,-0.07,-0.02,0.18,-0.05,1.7614,0,,,,,,,,
1968/3/7,0.18,-0.09,-0.04,0.22,-0.05,1.7614,0,,,,,,,,
1968/3/8,0.22,-0.1,-0.03,0.25,-0.07,1.7614,0,,,,,,,,
1968/3/11,0.22,-0.06,-0.03,0.25,-0.03,1.7614,0,,,,,,,,
1968/3/12,0.24,-0.06,-0.03,0.27,-0.03,1.7614,0,,,,,,,,
1968/3/13,0.24,-0.08,-0.04,0.28,-0.04,1.7614,0,,,,,,,,
1968/3/14,0.21,-0.08,-0.05,0.26,-0.03,1.7614,0,,,,,,,,
1968/3/15,0.15,-0.06,-0.04,0.19,-0.02,1.7614,0,,,,,,,,
1968/3/18,0.09,-0.05,-0.02,0.11,-0.03,1.7614,0,,,,,,,,
1968/3/19,0.1,-0.08,-0.01,0.11,-0.07,1.7614,0,,,,,,,,
1968/3/20,0.08,-0.05,0.02,0.06,-0.07,1.7614,0,,,,,,,,
1968/3/21,0.11,-0.07,-0.02,0.13,-0.05,1.7614,0,,,,,,,,
1968/3/22,0.1,-0.05,0,0.1,-0.05,1.7614,0,,,,,,,,
1968/3/25,0.12,-0.05,0,0.12,-0.05,1.7614,0,,,,,,,,
1968/3/26,0.17,-0.03,0,0.17,-0.03,1.7614,0,,,,,,,,
1968/3/27,0.18,-0.02,0.01,0.17,-0.03,1.7614,0,,,,,,,,
1968/3/28,0.18,-0.04,-0.01,0.19,-0.03,1.7614,0,,,,,,,,
1968/3/29,0.17,-0.03,0,0.17,-0.03,1.7614,0,,,,,,,,
1968/4/1,0.1,-0.05,0,0.1,-0.05,1.2127,0,,,,,,,,
1968/4/2,0.1,-0.02,0.04,0.06,-0.06,1.2127,0,,,,,,,,
1968/4/3,0.05,-0.01,0.06,-0.01,-0.07,1.2127,0,,,,,,,,
1968/4/4,0.03,0,0.05,-0.02,-0.05,1.2127,0,,,,,,,,
1968/4/5,0.02,-0.01,0.04,-0.02,-0.05,1.2127,0,,,,,,,,
1968/4/8,0.03,0.02,0.05,-0.02,-0.03,1.2127,0,,,,,,,,
1968/4/10,0.02,0.02,0.05,-0.03,-0.03,1.2127,0,,,,,,,,
1968/4/11,-0.05,-0.02,0.01,-0.06,-0.03,1.2127,0,,,,,,,,
1968/4/15,-0.04,-0.06,-0.02,-0.02,-0.04,1.2127,0,,,,,,,,
1968/4/16,-0.04,-0.06,-0.04,0,-0.02,1.2127,0,,,,,,,,
1968/4/17,-0.05,-0.06,-0.05,0,-0.01,1.2127,0,,,,,,,,
1968/4/18,-0.09,-0.12,-0.08,-0.01,-0.04,1.2127,0,,,,,,,,
1968/4/19,-0.14,-0.18,-0.14,0,-0.04,1.2127,0,,,,,,,,
1968/4/22,-0.17,-0.22,-0.15,-0.02,-0.07,1.2127,0,,,,,,,,
1968/4/23,-0.15,-0.2,-0.11,-0.04,-0.09,1.2127,0,,,,,,,,
1968/4/24,-0.16,-0.21,-0.12,-0.04,-0.09,1.2127,0,,,,,,,,
1968/4/25,-0.18,-0.23,-0.13,-0.05,-0.1,1.2127,0,,,,,,,,
1968/4/26,-0.21,-0.25,-0.13,-0.08,-0.12,1.2127,0,,,,,,,,
1968/4/29,-0.25,-0.25,-0.23,-0.02,-0.02,1.2127,0,,,,,,,,
1968/4/30,-0.26,-0.26,-0.22,-0.04,-0.04,1.2127,0,,,,,,,,
1968/5/1,-0.27,-0.24,-0.19,-0.08,-0.05,1.2127,0,,,,,,,,
1968/5/2,-0.23,-0.21,-0.19,-0.04,-0.02,1.2127,0,,,,,,,,
1968/5/3,-0.28,-0.24,-0.21,-0.07,-0.03,1.2127,0,,,,,,,,
1968/5/6,-0.3,-0.24,-0.2,-0.1,-0.04,1.2127,0,,,,,,,,
1968/5/7,-0.25,-0.23,-0.18,-0.07,-0.05,1.2127,0,,,,,,,,
1968/5/8,-0.25,-0.26,-0.19,-0.06,-0.07,1.2127,0,,,,,,,,
1968/5/9,-0.24,-0.25,-0.18,-0.06,-0.07,1.2127,0,,,,,,,,
1968/5/10,-0.24,-0.25,-0.18,-0.06,-0.07,1.2127,0,,,,,,,,
1968/5/13,-0.24,-0.26,-0.18,-0.06,-0.08,1.2127,0,,,,,,,,
1968/5/14,-0.25,-0.26,-0.18,-0.07,-0.08,1.2127,0,,,,,,,,
1968/5/15,-0.24,-0.26,-0.17,-0.07,-0.09,1.2127,0,,,,,,,,
1968/5/16,-0.32,-0.29,-0.17,-0.15,-0.12,1.2127,0,,,,,,,,
1968/5/17,-0.33,-0.3,-0.19,-0.14,-0.11,1.2127,0,,,,,,,,
1968/5/20,-0.36,-0.33,-0.19,-0.17,-0.14,1.2127,0,,,,,,,,
1968/5/21,-0.37,-0.34,-0.19,-0.18,-0.15,1.2127,0,,,,,,,,
1968/5/22,-0.37,-0.32,-0.18,-0.19,-0.14,1.2127,0,,,,,,,,
1968/5/23,-0.29,-0.25,-0.15,-0.14,-0.1,1.2127,0,,,,,,,,
1968/5/24,-0.25,-0.21,-0.12,-0.13,-0.09,1.2127,0,,,,,,,,
1968/5/27,-0.23,-0.14,-0.1,-0.13,-0.04,1.2127,0,,,,,,,,
1968/5/28,-0.25,-0.14,-0.12,-0.13,-0.02,1.2127,0,,,,,,,,
1968/5/29,-0.24,-0.15,-0.13,-0.11,-0.02,1.2127,0,,,,,,,,
1968/5/31,-0.2,-0.08,-0.11,-0.09,0.03,1.2127,0,,,,,,,,
1968/6/3,-0.23,-0.06,-0.12,-0.11,0.06,1.2127,0,,,,,,,,
1968/6/4,-0.25,-0.06,-0.12,-0.13,0.06,1.2127,0,,,,,,,,
1968/6/5,-0.23,-0.07,-0.13,-0.1,0.06,1.2127,0,,,,,,,,
1968/6/6,-0.22,-0.08,-0.12,-0.1,0.04,1.2127,0,,,,,,,,
1968/6/7,-0.23,-0.09,-0.11,-0.12,0.02,1.2127,0,,,,,,,,
1968/6/10,-0.25,-0.1,-0.12,-0.13,0.02,1.2127,0,,,,,,,,
1968/6/11,-0.27,-0.12,-0.12,-0.15,0,1.2127,0,,,,,,,,
1968/6/12,-0.27,-0.13,-0.13,-0.14,0,1.2127,0,,,,,,,,
1968/6/13,-0.27,-0.08,-0.12,-0.15,0.04,1.2127,0,,,,,,,,
1968/6/14,-0.28,-0.08,-0.1,-0.18,0.02,1.2127,0,,,,,,,,
1968/6/17,-0.29,-0.07,-0.1,-0.19,0.03,1.2127,0,,,,,,,,
1968/6/18,-0.28,-0.07,-0.11,-0.17,0.04,1.2127,0,,,,,,,,
1968/6/19,-0.28,-0.07,-0.11,-0.17,0.04,1.2127,0,,,,,,,,
1968/6/20,-0.25,-0.04,-0.11,-0.14,0.07,1.2127,0,,,,,,,,
1968/6/21,-0.27,-0.06,-0.14,-0.13,0.08,1.2127,0,,,,,,,,
1968/6/24,-0.27,-0.11,-0.16,-0.11,0.05,1.2127,0,,,,,,,,
1968/6/25,-0.3,-0.17,-0.17,-0.13,0,1.2127,0,,,,,,,,
1968/6/26,-0.31,-0.18,-0.17,-0.14,-0.01,1.2127,0,,,,,,,,
1968/6/27,-0.27,-0.16,-0.16,-0.11,0,1.2127,0,,,,,,,,
1968/6/28,-0.27,-0.14,-0.15,-0.12,0.01,1.2127,0,,,,,,,,
1968/7/1,-0.28,-0.13,-0.15,-0.13,0.02,2.3009,0,,,,,,,,
1968/7/2,-0.27,-0.1,-0.15,-0.12,0.05,2.3009,0,,,,,,,,
1968/7/3,-0.23,-0.08,-0.14,-0.09,0.06,2.3009,0,,,,,,,,
1968/7/5,-0.24,-0.07,-0.14,-0.1,0.07,2.3009,0,,,,,,,,
1968/7/8,-0.18,-0.03,-0.12,-0.06,0.09,2.3009,0,,,,,,,,
1968/7/9,-0.15,-0.02,-0.1,-0.05,0.08,2.3009,0,,,,,,,,
1968/7/10,-0.17,-0.06,-0.12,-0.05,0.06,2.3009,0,,,,,,,,
1968/7/11,-0.18,-0.07,-0.13,-0.05,0.06,2.3009,0,,,,,,,,
1968/7/12,-0.2,-0.06,-0.12,-0.08,0.06,2.3009,0,,,,,,,,
1968/7/15,-0.19,-0.08,-0.12,-0.07,0.04,2.3009,0,,,,,,,,
1968/7/16,-0.18,-0.07,-0.11,-0.07,0.04,2.3009,0,,,,,,,,
1968/7/17,-0.14,-0.01,-0.09,-0.05,0.08,2.3009,0,,,,,,,,
1968/7/18,-0.09,0.04,-0.06,-0.03,0.1,2.3009,0,,,,,,,,
1968/7/19,-0.09,0.05,-0.03,-0.06,0.08,2.3009,0,,,,,,,,
1968/7/22,-0.1,0.05,-0.02,-0.08,0.07,2.3009,0,,,,,,,,
1968/7/23,-0.12,0.01,-0.05,-0.07,0.06,2.3009,0,,,,,,,,
1968/7/24,-0.14,-0.03,-0.07,-0.07,0.04,2.3009,0,,,,,,,,
1968/7/25,-0.1,-0.03,-0.09,-0.01,0.06,2.3009,0,,,,,,,,
1968/7/26,-0.08,-0.05,-0.11,0.03,0.06,2.3009,0,,,,,,,,
1968/7/29,-0.08,-0.07,-0.12,0.04,0.05,2.3009,0,,,,,,,,
1968/7/30,-0.1,-0.09,-0.12,0.02,0.03,2.3009,0,,,,,,,,
1968/7/31,-0.11,-0.09,-0.11,0,0.02,2.3009,0,,,,,,,,
1968/8/1,0.08,-0.01,-0.09,0.17,0.08,2.3009,0,,,,,,,,
1968/8/2,0.06,-0.02,-0.09,0.15,0.07,2.3009,0,,,,,,,,
1968/8/5,0.03,-0.04,-0.11,0.14,0.07,2.3009,0,,,,,,,,
1968/8/6,-0.05,-0.08,-0.12,0.07,0.04,2.3009,0,,,,,,,,
1968/8/7,-0.01,-0.02,-0.09,0.08,0.07,2.3009,0,,,,,,,,
1968/8/8,0,-0.02,-0.09,0.09,0.07,2.3009,0,,,,,,,,
1968/8/9,0.01,-0.03,-0.08,0.09,0.05,2.3009,0,,,,,,,,
1968/8/12,-0.03,-0.05,-0.1,0.07,0.05,2.3009,0,,,,,,,,
1968/8/13,-0.05,-0.04,-0.09,0.04,0.05,2.3009,0,,,,,,,,
1968/8/14,-0.07,-0.01,-0.08,0.01,0.07,2.3009,0,,,,,,,,
1968/8/15,-0.09,0.01,-0.07,-0.02,0.08,2.3009,0,,,,,,,,
1968/8/16,-0.02,0.02,-0.07,0.05,0.09,2.3009,0,,,,,,,,
1968/8/19,-0.02,0.01,-0.06,0.04,0.07,2.3009,0,,,,,,,,
1968/8/20,-0.02,0.01,-0.07,0.05,0.08,2.3009,0,,,,,,,,
1968/8/21,0,0.02,-0.06,0.06,0.08,2.3009,0,,,,,,,,
1968/8/22,-0.02,0.03,-0.05,0.03,0.08,2.3009,0,,,,,,,,
1968/8/23,0.01,0.04,-0.05,0.06,0.09,2.3009,0,,,,,,,,
1968/8/26,0.01,0.05,-0.05,0.06,0.1,2.3009,0,,,,,,,,
1968/8/27,0.02,0.05,-0.05,0.07,0.1,2.3009,0,,,,,,,,
1968/8/28,0.01,0.05,-0.05,0.06,0.1,2.3009,0,,,,,,,,
1968/8/29,-0.01,0.05,-0.06,0.05,0.11,2.3009,0,,,,,,,,
1968/8/30,-0.01,0.06,-0.06,0.05,0.12,2.3009,0,,,,,,,,
